Название вакансии | Работодатель | Зарплата
Водитель | Теропром | от 120000 RUR
Главный бухгалтер | Проф Лингва | 200000 - 250000 RUR
Декан юридического факультета | Казанский (Приволжский) федеральный университет | от 100000 RUR
Юрист | Зероникс | 120000 - 150000 RUR
Офис-менеджер Москвариум | Москвариум | 90000 - 90000 RUR
Специалист отдела экономической безопасности | ТЕХИНВЕСТ | 115000 - 130000 RUR
Водитель | Еврохимсервис | от 60000 RUR
HR-партнер/ Рекрутер в компанию недвижимости (Дубай) | ARTEGO Estate | 253000 - 300000 RUR
Бариста | Coffee bean | от 80000 RUR
Консультант в салон ОПТИКИ | АЙКРАФТ | от 100000 RUR
Менеджер по продажам | Интерфакс | не указана
Младший тестировщик | Metacommerce | 70000 - 90000 RUR
Заведующий канцелярией | Соцкультбыт-АВТОВАЗ | от 50000 RUR
Дежурный электрик | РИО Менеджмент | 80000 - 80000 RUR
Веб-дизайнер | Центр качества образования | 100000 - 150000 RUR
Директор по правовым вопросам | НИИРПИ | не указана
Водитель-экспедитор | Пожтехавтоматика | 150000 - 150000 RUR
Кладовщик | ГрандКомплект | от 103448 RUR
Региональный менеджер по персоналу | ZOLLA | не указана
Сварщик на полуавтомат | Сорогин Артем Юрьевич | 100000 - 200000 RUR
Бухгалтер (удаленно или гибрид) | Комакс | 60000 - 70000 RUR
Инженер(сервера) | Видеомакс | до 173076 RUR
Администратор записи клиники косметологии | Бьютисенс | 60000 - 80000 RUR
Директор филиала/Региональный представитель | ТРАКБЕЛЛ | от 120000 RUR
Водитель-экспедитор | Государственный научно-исследовательский институт прикладных проблем, ФГУП | от 90000 RUR
Python -разработчик | Танто Солюшнз | не указана
Руководитель управление СМР | Акцент | не указана
Бухгалтер на первичную документацию | Nutex-digital | до 30000 RUR
Бухгалтер | Марийская деревообрабатывающая фабрика | от 60000 RUR
Главный специалист по кадровому делопроизводству | Солар | не указана
Инженер-тестировщик (middle) | СберМедИИ | не указана
Ведущий новостей на Радио 1 | ГАУ МО РАДИО 1 | не указана
Начальник службы безопасности | Автотрейд | от 90000 RUR
Помощник по хозяйству | Фортуна | от 200000 RUR
Эколог в адвокатское бюро | Zharov Group | не указана
Бухгалтер | Крымский туроператор Рюкзак путешествий | 75000 - 100000 RUR
Директор по продукту (CPO) | StaffRecruitment | от 1000000 RUR
Ассистент менеджера по проектам | Координатор | от 120000 RUR
Специалист по логистике и закупкам ВЭД | Новый свет | не указана
Директор / Член совета директоров / Вице-президент | Star recruitment | от 500000 RUR
Библиотекарь | SMART библиотека имени Анны Ахматовой | 60000 - 80000 RUR
Kundenbetreuer | ABG Media | 170000 - 500000 RUR
Ассистент менеджера WB | Планета Творчества | 30000 - 60000 RUR
Администратор-менеджер | Хорошая погода | 100000 - 250000 RUR
Сварщик | Линкор | 135000 - 170000 RUR
Водитель категории В на газель | Транc-Система | 150000 - 250000 RUR
Сварщик на полуавтомат | ПО Юпитер | от 5000 RUR
Бухгалтер | СК ВЫСОТСПЕЦСТРОЙ | от 120000 RUR
Заведующий отделом обслуживания | Государственная библиотека Югры | 100000 - 120000 RUR
QA engineer, ритейл | SkillStaff | не указана
Главный бухгалтер в единственном числе (доп. подразделение) | Глобалтехэкспорт | 200000 - 250000 RUR
Аналитик данных | PUSY (Дрожь Бьюти) | не указана
Кладовщик | Долгих Юлия Леонидовна | от 70000 RUR
Manual QA Engineer | ICVR | не указана
Ручной тестировщик | Лига Цифровой Экономики | не указана
Водитель микроавтобуса | Империя туризма | 130000 - 150000 RUR
Заместитель по АХЧ в Медицинский центр | МЦ Жизнь | от 71760 RUR
Экспедитор | Лаборатория Касперского | не указана
Senior Frontend разработчик | Версус Сервис | не указана
Помощник секретаря | Научно-исследовательский институт современных телекоммуникационных технологий (НИИ СТТ, АО) | от 35000 RUR
Директор по развитию загородного клуба | Осинина Татьяна Витальевна | от 200000 RUR
Генеральный директор бизнес единицы (пищевое производство) | EXE.CTLY | не указана
Frontend-разработчик | Есин Евгений Валерьевич | не указана
Фронтенд разработчик в команду Vue.js | Силикон Кнайтс | 60000 - 95000 RUR
Администратор стойки ресепшен | Образовательный центр Пять с плюсом | 90000 - 90000 RUR
Менеджер службы поддержки (чаты) | Правое Полушарие Интроверта | 45000 - 70000 RUR
Оператор поддержки покупателей / Оператор call-центра / Входящие звонки | ВкусВилл | 55000 - 75000 RUR
Менеджер | Премьер-Партнер | от 90000 RUR
Менеджер по продажам/торговый представитель (без поиска) | Benone | 110000 - 300000 RUR
Заместитель генерального директора | АЛАНТЕРА | от 300000 RUR
Инженер по тестированию (ручной) | Электронная Москва | не указана
Помощник/ассистент руководителя | Министерство финансов Республики Башкортостан | 55000 - 60000 RUR
Бухгалтер в ТЦ СРЕDA | Бекшоков Ислам Барасбиевич | не указана
Frontend-разработчик | НПП ТИК | от 50000 RUR
Заместитель генерального директора по продажам / Руководитель коммерческого блока | Локотех-Промсервис | не указана
Разнорабочий | КЭМ | 500 - 600 RUR
Экономист по расчетам | Соткон | до 173000 RUR
Администратор | ГК Донской причал | 60000 - 90000 RUR
Сторож | Хром | от 40000 RUR
3D художник | Цифровой элемент | до 80000 RUR
Секретарь нотариуса | Нотариус Кузьмина Татьяна Александровна | от 45000 RUR
Юрисконсульт | Группа компаний БИН - Агрохолдинг Николаевский | от 80000 RUR
Event-менеджер | AERODISK | от 180000 RUR
Управляющий ресторанной службы | Альбион | 100000 - 150000 RUR
Бухгалтер в единственном лице | Baurs | до 130000 RUR
Инженер-тестировщик ПО | НВП «Болид» | не указана
Ассистент стоматолога ( м.Новаторская, м.Бабушкинская) | Сеть клиник «Столица» | от 100000 RUR
Генеральный директор / Директор завода | ТЕХНОНИКОЛЬ | не указана
Ведущий специалист по транспортной логистике | Газпромнефть-Снабжение | не указана
Музыкальный эксперт | Звук | не указана
QA Engineer ( Тестировщик ) | LOYA | не указана
Администратор многоквартирного дома | Ингрупп | от 80000 RUR
Водитель категории B | Мэни Хэндс | от 350000 RUR
Бухгалтер на первичную документацию | Трансстрой | 60000 - 100000 RUR
Менеджер по продажам | Комсомол | от 400000 RUR
Бухгалтер по расчету заработной платы (УДАЛЕННО) | ФинМетод | до 60000 RUR
Разнорабочий в производственный цех | Диамант Экстружн | 70000 - 90000 RUR
Помощник руководителя | Mariska Media | 200000 - 250000 RUR
Судебный юрист в юридическую фирму | Lue Sky Legal Recruitment | 230000 - 470000 RUR
Java-разработчик (офис на ИС, после удаленно) | Снэп АйТи | 180000 - 200000 RUR
Ручной тестировщик | Лига Цифровой Экономики | не указана
Специалист по управлению документацией | Филиал ФГБУ Юг Спорт в г. Кисловодске | 56000 - 58000 RUR
Звукооператор/звукорежиссер | ГБУ ДО ЦДЮИ | не указана
Администратор в частную школу | АНО ДПО Детско-юношеский центр Магистр-Звенигород | 90000 - 200000 RUR
Сушеф | Креативные Технологии | 160000 - 185000 RUR
Бизнес-ассистент | LAINA | не указана
Технический директор | ГенПроВектор | от 280000 RUR
Главный бухгалтер (с функциями финансового директора) | ФОРМАТ | 250000 - 350000 RUR
Специалист по тендерам | Урсастрой | от 200000 RUR
Охранник | АЛЬФА-СБ | 90000 - 100000 RUR
Frontend React разработчик | АСД Технолоджиз | 280000 - 350000 RUR
Оператор 1С | ГК Empres | от 50000 RUR
Руководитель строительства | ПОЛИТЕХСТРОЙ – СВАРГО | не указана
Товаровед на склад в магазин Parad (женская обувь, одежда, аксессуары) | Данилова Марина Олеговна | 60000 - 85000 RUR
Оператор контакт-центра | Сеть фитнес-клубов Spirit | не указана
Срочно! Менеджер по продажам (удаленно, горячие заявки) | Artsy.Group | 85555 - 215555 RUR
Инженер по обслуживанию противопожарных систем | СКД | 100000 - 120000 RUR
Администратор посуточной аренды квартир | Молчанова Любовь Александровна | от 60000 RUR
Менеджер по обработке заявок (удаленно) | ЕЦТ | 1500 - 3000 RUR
Frontend-разработчик (React, JavaScript) | Компания «ФИНТЕРРА» | не указана
Водитель категории В | ТК Ника | от 130000 RUR
Косметолог-эстетист | Else Style | от 150000 RUR
Руководитель проектов корпоративного обучения | Валта | не указана
Водитель-монтажник табачного оборудования | Тех-Ник | от 200000 RUR
Рабочий (рабочая) | Форвард | от 65000 RUR
Руководитель производственных проектов | YADRO | не указана
Менеджер по обработке заявок | ЕЦТ | 1500 - 3000 RUR
Кладовщик | КамПром-Сервис | от 70000 RUR
3D дизайнер | SberTech | не указана
Главный бухгалтер | ИБ Хоссер | 160000 - 200000 RUR
Оператор 1C | Юнитон | от 60000 RUR
Оператор аттракционов | Диво Остров | 100000 - 120000 RUR
Финансовый менеджер | NETONE | от 140000 RUR
Менеджер по работе с блогерами (Инфлюенс менеджер) | Кео | 70000 - 130000 RUR
Юрист по договорной работе в международную компанию BORK | A-hiring | до 250000 RUR
Инженер-тестировщик | ИнфоТеКС | не указана
Менеджер по работе со зрителями с ограниченными возможностями здоровья | Футбольный клуб Рубин | от 70000 RUR
Водитель по внутренним перевозкам | СКХ | 80000 - 80000 RUR
QA Tech Middle | Ласт Левел | не указана
Делопроизводитель | ГКУ Кадровый Центр Саратовской Области | 45425 - 45425 RUR
Курьер (доставка документов) | Твоя Европа | 45000 - 50000 RUR
Специалист Отдела по организационно-методической работе | НИУ БелГУ | до 54000 RUR
Диспетчер | Центр-Строй | от 120000 RUR
Frontend-разработчик (Middle/Senior, fintech) | Картнода | не указана
Заведующий группой анестезиологии и реанимации/Врач анестезиолог-реаниматолог | Лечебный центр | до 220000 RUR
Senior Frontend разработчик | Версус Сервис | не указана
Специалист по труду 1-й категории | Транснефть-Терминал | от 90000 RUR
Асcистент преподавателя со знанием английского языка | International School of Saint Petersburg | от 60000 RUR
Администратор | Гормонлайф | 110000 - 110000 RUR
Менеджер маркетплейсов | Золотые купола | от 60000 RUR
Тестировщик | ITGLOBAL.COM | не указана
Техник по эксплуатации здания | ND Group | 115000 - 115000 RUR
Преподаватель истории и обществоведения | ГБПОУ Колледж Сферы Услуг № 10 | 98000 - 150000 RUR
Middle QA Manual - remote | Тайгер Трейд | не указана
Главный ретушер-эксперт | Ловцы Света | до 150000 RUR
Помощник режиссёра в театр | Театр Легенда | от 70000 RUR
Трейдер (в офис) | Технология | от 300000 RUR
Вожатый в летний лагерь | Англокроха | от 40000 RUR
Инспектор службы безопасности | Radisson Collection Paradise Resort & Spa | 50000 - 100000 RUR
Контролер-кассир (Москва, Московская область) | Сеть кинотеатров КАРО | 50000 - 65000 RUR
Администратор | КАРДИГАРДИИ | от 90000 RUR
Менеджер по продажам | Алгруп Кабельная Компания | от 120000 RUR
Ведущий специалист отдела комплектования, обработки, выдачи и хранения документов | Управление по делам ЗАГС НСО | 47000 - 60000 RUR
Директор Департамента анализа и планирования | Берингер Ингельхайм | не указана
Программист Java Junior | СПИИРАН-НТБВТ | не указана
Javascript разработчик | Victory Soft | от 80000 RUR
Оператор производственной линии | ОКБ КП | от 100000 RUR
Руководитель отдела персонала | ТУРКОВ | от 200000 RUR
Ассистент CEO / Chief of Flow | GenGO | 150000 - 250000 RUR
Заместитель начальника отдела по охране труда и промышленной безопасности | WISON | не указана
Водитель-экспедитор | Мир Техники | 80000 - 85000 RUR
Няня к девочке 2,3 года (Дубай) | Агентство Ми-Ми | 300000 - 450000 RUR
Помощник менеджера маркетплейсов (Ozon, Wildberries, Yandex Market) | Лесовой Артем Валерьевич | 20000 - 70000 RUR
Администратор Службы связи | ГБУЗ ММНКЦ им. С.П. Боткина ДЗМ | 60000 - 80000 RUR
Региональный директор | Квест Групп | до 300000 RUR
Офисный водитель | Ларчфилд ЛСН | 90000 - 110000 RUR
Куратор профессиональных курсов | Правое Полушарие Интроверта | от 60000 RUR
Специалист по информационной безопасности (ИБ) | Кортекс | от 500000 RUR
QA-инженер | МКК ДеньгиОК | 130000 - 150000 RUR
Управляющий рестораном | Алекс-Групп | от 200000 RUR
Личный помощник руководителя | Capital Group | не указана
Специалист по кадровому делопроизводству | Мануфактуры Боско | не указана
Менеджер по продажам изъятой техники | Альфа-Лизинг | от 250000 RUR
Начинающий специалист - стажер со знанием английского языка | Интерсофт | 70000 - 70000 RUR
Специалист технической поддержки/Support в IGaming | Блэкмедиа | 70000 - 100000 RUR
Руководитель проекта (структура инвестор/заказчик) | Группа компаний ДОНСТРОЙ | не указана
Python-разработчик | Первый Бит | 150000 - 200000 RUR
Junior Product Manager | Warefly | до 70000 RUR
Руководитель направления (нефтегазовая компания) | StaffRecruitment | от 1000000 RUR
Менеджер по оптовым продажам | Электрика-Опт | 100000 - 250000 RUR
Бармен | WINLINE | не указана
Инженер ПТО | Специализированное строительное управление | 170000 - 170000 RUR
Водитель погрузчика | Стройпластполимер | от 100000 RUR
Инженер по ручному тестированию | Osnova -IT | не указана
Управляющий загородным природным комплексом в Ярославской области | Глэмпинг Ветрено | от 120000 RUR
Front-end Developer (React) | iGaming Company | не указана
Заместитель руководителя отдела продаж | Технопром | от 200000 RUR
Python разработчик | Corporate Performance Systems | не указана
Тестировщик / QA engineer | Медиа Бизнес Солюшенс | не указана
QA Engineer/Тестировщик (Middle,Senior) | X5 Tech | не указана
Операционный директор (общепит) | Eat Out | 180000 - 180000 RUR
Диспетчер | Спецавтохозяйство | 177 - 213 RUR
Уборщица/Уборщик в салон красоты (три дня в неделю) | Люкс Медик | от 50000 RUR
Менеджер по бронированию в парк-отель Сказка Алтая | Сказка Алтая | от 60000 RUR
Frontend разработчик (React) | КРОК | не указана
Няня (для ребенка 3 месяца, м. Октябрьская) | Дружкова Кристина Минасовна | 1500 - 1500 RUR
Специалист по закрытию | ВЕТЕРАН | не указана
Менеджер по выявлению потребности (удаленно) | ЕЦТ | от 50000 RUR
Помощник менеджера по маркетплейсам Wildberries | Золотикова Александра Валерьевна | 60000 - 95000 RUR
Юрисконсульт | ГУ МВД России по Алтайскому краю | 45000 - 60000 RUR
Администратор / медицинский регистратор (архивариус) | ФГБУ 52 консультативно-диагностический центр Министерства обороны РФ (ФГБУ 52 КДЦ Минобороны России) | не указана
Руководитель e-commerce | Planta Rosa | не указана
Менеджер отдела контроля качества (прослушка звонков) | Серт-Маркет | 25000 - 35000 RUR
Директор по маркетингу | Weconnect | не указана
Директор по управлению проектами | НИИРПИ | не указана
Руководитель склада | Злобина Александра Дмитриевна | от 120000 RUR
Юрисконсульт (Договорная и судебная работа в проектной и строительной сфере) | Инновации | от 100000 RUR
Системный администратор | Птицефабрика Комсомольская | от 77000 RUR
Графический дизайнер | Катри | 80000 - 150000 RUR
Frontend React разработчик | АСД Технолоджиз | 280000 - 350000 RUR
Менеджер по продажам (нефтегазовая отрасль) | Вервекс Энерджи | от 100000 RUR
Аромастилист | Gamma D'ORO (ИП Васильев Алексей Германович) | от 50000 RUR
Администратор на reception | ЦРДС ЮНОСТЬ | 5000 - 5500 RUR
Менеджер по продажам (конечные заказчики) | AxeTech | 150000 - 250000 RUR
Оператор(выходного дня) | КОТМАРКОТ | 25000 - 25000 RUR
Помощник генерального директора | Комплексные энергетические решения | до 160000 RUR
Администратор на оформление | Ортос | от 80000 RUR
Курьер | нетмонет | до 3500 RUR
Специалист по тестированию ПО | Компания Русский Свет | не указана
Специалист по тестированию (QA Manual Middle) | Лига Ставок | до 200000 RUR
Администратор в лабораторию | ЦЛД | от 35000 RUR
Frontend-разработчик React | Finstar Financial Group | 180000 - 220000 RUR
Управляющий директор (Краснодар) | Евроонко | не указана
Няня | ЕВРОПЕЙСКИЙ, Торгово-Развлекательный центр | 200000 - 250000 RUR
Специалист технической поддержки | Pyrus | не указана
Инженер ПТО (ПГС) | ПРОФЭНЕРГО | от 120000 RUR
Руководитель ФЭО | Хоккейный клуб СКА | не указана
Финансовый директор (CFO) | Business Kernel | не указана
Администратор офиса (Делопроизводитель) | БЕЛМАШ | 80000 - 100000 RUR
Системный администратор | Татнефтепроводстрой | 180000 - 180000 RUR
Продавец-консультант | Чекурова Анна Васильевна | 2000 - 2000 RUR
Специалист по работе с документами | Группа Компаний Астрал | до 40000 RUR
Водитель-экспедитор категории В | Десятскова Татьяна Владимировна | от 70000 RUR
QA manual | MIND Software | не указана
Бухгалтер | Росхим | до 66700 RUR
Специалист по ведению табеля | Газпромбанк | не указана
Ведущий специалист ОМТО | Амур Минералс | от 100000 RUR
Секретарь/Офис-менеджер | АЙФЭЛЛ | не указана
Водитель категории В, г. Кемерово | ТрансГарант | от 90000 RUR
Junior Frontend Разработчик | Digital Partners Global | от 92000 RUR
Инженер-геодезист | Строительно-Транспортная Компания | от 150000 RUR
Торговый представитель (Брянск) | Холдинговая компания АлфиГрупп | от 168000 RUR
Заведующий пищевым производством в столовую | Гуд фуд | 150000 - 200000 RUR
Ассистент продакт-менеджера | Greencosmetics | не указана
Арт-директор | FINN FLARE | не указана
Руководитель управления кадрового делопроизводства | МЕДИС | не указана
Специалист по работе с документами | Агропромышленная группа ИНДЕАЛЬ | 76000 - 79300 RUR
Видеомонтажер коротких роликов | СЛ | от 45000 RUR
Ведущий менеджер по маркетплейсам ОЗОН | КОТМАРКОТ | не указана
Водитель на автомобиль компании категории B | Мэни Хэндс | от 220000 RUR
Электрогазосварщик | АТ -инжиниринг | от 200000 RUR
Менеджер интернет-магазина | Фокина Анастасия | 100000 - 120000 RUR
Дефектолог/логопед | ГБОУ Школа № 504 | от 60400 RUR
Помощник менеджера по маркетплейсам Wildberries/OZON | Мурар Валентина Игоревна | 30000 - 60000 RUR
Менеджер по продажам IT-оборудования. | BY business group | от 150000 RUR
Администратор студии красоты | Студия Красоты Гении Розен | 65000 - 80000 RUR
Курьер в интернет-магазин | Интернет-магазин AJ.ru | от 90000 RUR
Администратор-менеджер | Хорошая погода | 100000 - 250000 RUR
Менеджер по обработке заявок (удаленно) | ЕЦТ | от 50000 RUR
Лейбл-менеджер | Солдаут | от 100000 RUR
Менеджер Вконтакте | Фазылова Алина Салаватовна | 34000 - 42000 RUR
Переводчик | Бюро переводов Ак Йорт | от 50000 RUR
Сотрудник службы безопасности | Голд Стандарт | 150000 - 150000 RUR
Frontend-разработчик (React) | Сизинцев Роман Александрович | не указана
Бариста | Не/медленно Кофе (ИП Абрамова Мария Александровна) | 400 - 400 RUR
Продюсер | ПХП | от 100000 RUR
Врач-кардиолог | ГБУЗ ГКБ им. Д.Д. ПЛЕТНЁВА ДЗМ | от 130000 RUR
Руководитель IT-отдела | Сенсориум Корпорейшн Москва | не указана
Главный специалист по договорной работе | Независимая нефтегазовая компания | не указана
Менеджер чатов Telegram | StarKids | от 650 USD
Оператор 1C | Елисеева Юлия Павловна | от 60000 RUR
Персональный водитель | Группа ПТК | 120000 - 120000 RUR
Водитель легкового автомобиля | УК ХАС ГРУПП | от 67000 RUR
Бухгалтер на участок "Основные средства" | Коммерческая недвижимость | от 240000 RUR
Тренер по обучению | Булочные Ф.Вольчека | 100000 - 130000 RUR
Ассистент руководителя | Безумно | 50000 - 70000 RUR
Личный охранник руководителя | КОНРАД - группа компаний | 120000 - 130000 RUR
Водитель Камаза с категории "Е" | Нефтефлот | не указана
Оператор беспилотного воздушного судна (БВС/БПЛА) | Глобал Афс | от 120000 RUR
Охранник | АРБАТ | от 90000 RUR
SMM-специалист | Давай На Ты | от 120000 RUR
Исполнительный директор (CEO) | СНДГруп | 250000 - 250000 RUR
Администратор-управляющий в шоурум | Glamour Attire | 70000 - 120000 RUR
Начальник склада ТМЦ | Пермский телефонный завод Телта | от 90000 RUR
Начальник отдела аналитики и себестоимости строительства | Sminex | от 400000 RUR
Офис-менеджер/делопроизводитель/помощник главного бухгалтера | НИТИ Прогресс | от 60000 RUR
Оператор чат-поддержки ГИС ЖКХ и «Госуслуги Дом» | Аудио Коннект | 35000 - 50000 RUR
Логист / менеджер по логистике | Элайд Ниппон | от 110000 RUR
Учитель английского языка | Золотое Сечение, Частная школа | от 130000 RUR
Менеджер по продажам | Тарасова Ольга Сергеевна | не указана
Хостес в ресторан Phantom (м. Баррикадная) | PHANTOM | от 80000 RUR
Веб-разработчик | German web | от 60000 RUR
Логист | КБС | 150000 - 150000 RUR
Оператор call-центра | ЗооПорт | от 100000 RUR
Специалист по ручному тестированию (middle/middle+) | Про Ай-Ти Ресурс | не указана
Начальник отдела управления персоналом | Омский Электротехнический Завод | от 90000 RUR
Директор по закупкам | Новосталь-Маркет | не указана
Менеджер по продажам | Черемховская Полина Сергеевна | до 500000 RUR
Оператор контактного центра / Менеджер поддержки пользователей | Суточно.ру | 70000 - 80000 RUR
Менеджер по продажам (электронные компоненты) | РАДИАНТ | 100000 - 250000 RUR
Специалист по кадровому делопроизводству | Glassford Global | до 180000 RUR
Тестировщик QA manual (frontend/backend) | БФТ-Холдинг | не указана
Младший специалист/ассистент отдела ВЭД | Датасет | от 150000 RUR
Водитель | Пияткин Георгий Юрьевич | 300000 - 400000 RUR
Персональный водитель генерального директора | Бурсервис, АО, НПП | от 120000 RUR
Бизнес ассистент/ помощник руководителя | Vnukovo Country Club | не указана
Водитель | ГК Триумф | от 150000 RUR
Frontend-разработчик | FUN&SUN | не указана
Менеджер по продажам техники Apple | 9:41 Store | от 150000 RUR
Пеший курьер | Охранная Группа Оберегъ | 50000 - 50000 RUR
Менеджер по подбору персонала | Tile Time | 120000 - 170000 RUR
Менеджер по закупкам и снабжению | СМК54 | 100000 - 100000 RUR
Оператор 1С | Солнечная долина | от 50000 RUR
Водитель-экспедитор категория С межгород | Химическая Компания Синтезис | 100000 - 150000 RUR
HR-менеджер / Менеджер по персоналу в digital-агентство | Convergent | не указана
Сливщик-разливщик | Транснефть-Терминал | 70000 - 100000 RUR
Комьюнити-менеджер / Менеджер по работе с резидентами | Клуб Поставщиков Маркетплейсов МПСеллерс | от 100000 RUR
Консультант (по личному приему граждан) | ФКУ Военно-социальный центр Министерства обороны Российской Федерации | от 90000 RUR
Дизайнер на маркетплейсы | Ткачук Василий Сергеевич | 70000 - 100000 RUR
Frontend-разработчик | Foach | 150000 - 200000 RUR
Директор по закупкам (Закупки, Цепочки поставок) | Диджитал Академия | 250000 - 400000 RUR
Веб-дизайнер | ЭКСПРЕСС | 60000 - 80000 RUR
Junior QA специалист | Travelata.ru (ООО Травелата) | не указана
Няня | Jobers | 130000 - 200000 RUR
QA Engineer - Тестировщик | Букмекерская компания МЕЛБЕТ | не указана
Руководитель отдела корпоративной культуры | Roistat | не указана
Бухгалтер | Конфетная Фабрика Ноябрь | 70000 - 100000 RUR
Супервайзер (15 фирменных магазинов) | Люкс Вода | 100000 - 120000 RUR
Буфетчик | ГБУЗ Детский Санаторий № 42 Департамента Здравоохранения Города Москвы | от 80000 RUR
Junior 3D Artist | FuryLion.SPB | от 70000 RUR
Мастер маникюра/мастер ногтевого сервиса | Никулина Алена Сергеевна | 110000 - 200000 RUR
Водитель | Благо | от 100000 RUR
Руководитель направления складская логистика (Warehouse Manager) | Крупная FMCG non-food компания | не указана
Директор представительства | Carcade Leasing | от 350000 RUR
Территориальный менеджер | Bausch + Lomb | не указана
Главный бухгалтер | Медицинский центр XXI век (21 век) | от 200000 RUR
Хореограф в школу | Ломоносовская школа | не указана
Водитель легкового автомобиля | АНО ОЭК Стройтрест | не указана
Диспетчер ПДБ | Полимерпром | 52622 - 52622 RUR
Водитель | Центурион | 100000 - 200000 RUR
QA Engineer Web & Mobile (jun+) | Evercode Lab | не указана
Делопроизводитель | Государственное автономное учреждение Калининградской области Дирекция спортивных сооружений | 50000 - 50000 RUR
Юрисконсульт | Эн+ | не указана
Менеджер по работе с клиентами (ПИТЕР ФМ) | M10Media | 80000 - 150000 RUR
Телемаркетолог | Horton International | не указана
Ассистент (подработка) | Пахотина Ксения Евгеньевна | 15000 - 15000 RUR
Оператор беспилотников | АОДПО Институт направленного профессионального образования | 60000 - 100000 RUR
Менеджер Wildberries | Перов Павел Сергеевич | от 25000 RUR
Младший маркетолог в k-beauty компанию | VK Company | от 80000 RUR
Помощник тренера морских млекопитающих в Центр Дельфиния | Акватория | от 65000 RUR
Оператор 1С | СМ-Ком | 80000 - 90000 RUR
Кассир билетный | ФГБУК Государственный Русский музей | не указана
Исполнительный директор (CEO) | ПКФ Кристалл | от 200000 RUR
Младший специалист | TravelLine | от 38000 RUR
Руководитель проекта | Стандарт | 150000 - 200000 RUR
Контент-менеджер Библиотека МЭШ | ГАУ Города Москвы Центр цифровизации образования | не указана
Администратор | Созидатель Персонал | от 90000 RUR
Менеджер по работе с застройщиками | Домклик | не указана
Исполнительный директор (CEO) | Эно Групп | от 300000 RUR
Управляющий филиалом, г. Кунгур | Канюков Александр Владимирович | от 50000 RUR
Руководитель продакт-отдела | Planta Rosa | не указана
Специалист по тестированию ПО (Middle QA Engineer) | Эксайт Кит | 130 - 150 RUR
Manual QA | T2 | не указана
Графический дизайнер в «СЧАСТЬЕ» | Счастье | от 130000 RUR
Фотограф / Ассистент фотографа (Автомобильная темпатика) | Авто-Джаст | 120000 - 150000 RUR
Кладовщик склада | Парфюм-Лидер | 52000 - 70000 RUR
Менеджер маркетплейсов Wildberries и Ozon | ЭГО | 35000 - 55000 RUR
QA инженер | BAUM | не указана
Менеджер выписного отдела | Мединвестгрупп | от 110000 RUR
Кладовщик | РУСЛЕТ | до 100000 RUR
Производственный менеджер | MATERIA | от 65000 RUR
Системный администратор | Архипласт | 200000 - 250000 RUR
Директор по развитию | Croki, модный дом | от 300000 RUR
QA Engineer (middle) | Volna.tech | до 300000 RUR
Middle QA engineer (Manual), HR платформа | SkillStaff | не указана
Специалист | Пермская целлюлозно-бумажная компания | 70000 - 70000 RUR
Оператор станка с чпу | Сорогин Артем Юрьевич | 80000 - 140000 RUR
Финансовый директор | ДАЛКОС | не указана
Ретушер | Loft It | 70000 - 80000 RUR
Специалист по организационным вопросам | Протон-ПМ | не указана
Менеджер по работе с клиентами, Глобальный офис продаж в России | Radisson Hotel Group | не указана
Суперинтендант | Ультрамар | не указана
Middle QA Engineer (web/back/mob/api) | Циан | не указана
Дежурный охранник в офис | Представительство компании Шайн Бизнес корп | от 80000 RUR
Актёр массовых сцен и эпизодов | Кутинская Алла Юрьевна | 55000 - 130000 RUR
Домработница / Домработник | Lucky Personal | 170000 - 185000 RUR
Психолог (отделения дневного пребывания) | МБУ КЦСОН по Курчатовскому району г. Челябинска | 42000 - 42000 RUR
Middle QA Engineer (мобильное тестирование) | Metaratings | не указана
Начальник Юридического отдела/юрисконсульт | Банк Глобус, АО | не указана
Главный бухгалтер | ТСМ | от 200000 RUR
Официант в мужское отделение (банный комплекс) | Бани Алексеева | от 80000 RUR
Шеф-повар | Гастробарсервис | не указана
Экономист планово-экономического отдела | Цито | от 180000 RUR
Frontend-разработчик | Мэйнс Лаборатория | от 230000 RUR
Ассистент врача-стоматолога (разные филиалы) | Одонт, Медицинский центр | от 70000 RUR
Художник-Иллюстратор | Джони & Клайд | не указана
Помощник по хозяйству | Собянина София Игоревна | от 220000 RUR
Визуализатор | Балкон | 80000 - 150000 RUR
Администратор | ФГБУ ПОО ГУОР по хоккею | не указана
Junior QA | Lime Credit Group | не указана
Технический директор | Русская Платина | не указана
Бухгалтер по заработной плате | ЦРП | 86000 - 86000 RUR
Директор филиала / Руководитель ОП | ГК Триол | не указана
Галерист | Gi-vie.com | 100000 - 200000 RUR
Учитель английского языка | Автономная некоммерческая общеобразовательная организация Областной Технолицей им. В. И. Долгих | не указана
Юрист | Энергоресурс | от 150000 RUR
Сварщик | ПМК Прометей | 180000 - 264000 RUR
Разработчик (junior) | ЕМЕ | 60000 - 100000 RUR
Администратор в медицинский центр | Клиника МАРТ | 77600 - 77600 RUR
Официант | РисЛапша | 40000 - 80000 RUR
Инженер по тестированию / Manual QA (middle+) | БПС Инновационные Программные Решения | не указана
Head of digital/Руководитель группы интернет-маркетинга | Атом | не указана
Бухгалтер ТМЦ | Астон, группа компаний | 70000 - 70000 RUR
